1;Сфера;Мальчик;Объем;ООО Тюрьма;+7(939)428-71-50;+7(985)261-09-43
2;Движение;Выпуск;Удар;ООО Артист;+7(914)379-62-85;+7(907)816-34-92
3;Статья;Утро;Женщина;ООО Сумка;+7(993)082-67-45;+7(965)731-02-84
4;Метод;Банк;Правительство;ООО Бок;+7(986)509-14-73;+7(943)015-78-69
5;Профессия;Еврей;Государство;ООО Телефон;+7(935)278-06-19;+7(909)812-43-75
6;Запас;Инициатива;Представитель;ООО Детство;+7(963)178-04-29;+7(902)893-41-65
7;Журнал;Рубеж;Собака;ООО Переход;+7(920)385-17-49;+7(975)468-21-39
8;Собака;Новость;Техника;ООО Глава;+7(931)456-27-98;+7(997)635-48-20
9;Реформа;Поворот;Шанс;ООО Форма;+7(915)863-47-09;+7(924)106-38-97
10;Солдат;Поведение;Путь;ООО Том;+7(920)716-83-45;+7(915)203-46-79
11;Миллион;Зарплата;Метод;ООО Счастье;+7(928)306-49-51;+7(996)478-52-13
12;Совесть;Сказка;Зал;ООО Премия;+7(975)024-36-18;+7(904)671-82-59
13;Признание;Защита;Колесо;ООО Приятель;+7(948)605-21-73;+7(919)562-73-04
14;Стиль;Стиль;Зрение;ООО Эффект;+7(920)389-74-16;+7(981)309-76-25
15;Поток;Поезд;Учреждение;ООО Жилье;+7(992)458-73-10;+7(927)610-35-49
16;Июль;Жена;Разговор;ООО Требование;+7(901)862-43-57;+7(969)085-12-47
17;Скорость;Спор;Больница;ООО Газ;+7(906)598-73-14;+7(946)501-28-93
18;Газета;Длина;Выпуск;ООО Ставка;+7(901)327-49-68;+7(961)574-32-09
19;Война;Войско;Рождение;ООО Расход;+7(940)398-21-56;+7(949)830-56-71
20;Итог;Деталь;Образование;ООО Отношение;+7(923)674-09-81;+7(914)857-03-92
21;Полоса;Начальство;Переговоры;ООО Вид;+7(925)869-37-40;+7(963)519-40-27
22;Администрация;Лагерь;Декабрь;ООО Цвет;+7(951)032-98-64;+7(981)732-06-59
23;Чтение;Судьба;Выход;ООО Президент;+7(909)235-18-76;+7(953)826-47-10
24;Будущее;Царь;Политика;ООО Цифра;+7(930)427-68-15;+7(994)753-18-60
25;Канал;Артист;Ученый;ООО План;+7(976)901-48-53;+7(930)672-15-98
26;Зло;Автор;Сравнение;ООО Фактор;+7(956)813-29-70;+7(924)896-73-10
27;Семья;Путь;Очки;ООО Волна;+7(978)569-10-43;+7(917)254-90-38
28;Немец;Буква;Девочка;ООО Глаз;+7(906)358-94-17;+7(985)742-06-13
29;Исследование;Убийство;Заявление;ООО Развитие;+7(916)402-53-89;+7(969)251-70-84
30;Бабушка;Настроение;Количество;ООО Ухо;+7(910)549-28-36;+7(985)472-96-30
31;Предприятие;Этап;Искусство;ООО Штат;+7(960)875-42-39;+7(928)940-65-37
